Bowler Type,Ball Length,Ball Line,Speed (km/h),Shot Type,Runs Scored,Wicket,Field Placement,Angle,Bounce (cm),Field Positions
Fast,Full,Off-stump,131,Straight Drive,1,0,Aggressive,3.024010816223093,116,Long-on
Fast,Good,Leg-stump,118,Cut,4,0,Balanced,-12.37152301308121,55,Cover
Fast,Short,Middle,148,Edge,6,0,Defensive,-0.2699082606776617,51,Long-off
Spin,Short,Off-stump,125,Hook,4,0,Defensive,-0.8700828062018733,60,Long-off
Fast,Good,Off-stump,148,Straight Drive,0,0,Balanced,5.639325528909261,45,Long-off
Fast,Good,Off-stump,130,Sweep,0,0,Defensive,-12.330446546445378,54,Point
Spin,Full,Leg-stump,112,Pull,0,0,Aggressive,6.5768169535199945,23,Square Leg
Fast,Full,Off-stump,112,Pull,0,0,Defensive,-1.598733491993853,79,Fine Leg
Fast,Good,Off-stump,129,Cut,0,0,Aggressive,-12.956224075115784,38,Long-off
Spin,Full,Off-stump,135,Flick,0,0,Balanced,3.8025951412525387,59,Long-on
Fast,Full,Off-stump,141,Defensive,0,0,Defensive,-13.332660721813076,104,Slips
Fast,Good,Off-stump,124,Flick,0,0,Balanced,11.735859527039857,32,Square Leg
Spin,Full,Leg-stump,112,Defensive,0,0,Balanced,-1.6145856621219714,26,Long-on
Fast,Good,Leg-stump,129,Edge,4,0,Balanced,11.19866983073144,51,Mid-wicket
Spin,Short,Leg-stump,149,Edge,0,0,Defensive,4.193251202528067,100,Long-off
Spin,Good,Leg-stump,133,Cover Drive,0,0,Defensive,5.415721444505362,105,Long-off
Spin,Full,Middle,131,Defensive,0,0,Balanced,-9.50428508423294,59,Point
Fast,Good,Middle,140,Defensive,2,0,Aggressive,14.559024682647678,76,Point
Spin,Short,Leg-stump,146,Straight Drive,0,0,Defensive,-4.87388078642131,96,Point
Spin,Full,Middle,148,Defensive,4,0,Aggressive,2.1946837598660203,33,Point
Fast,Good,Off-stump,125,Edge,0,0,Aggressive,-5.54078282708733,10,Point
Spin,Full,Middle,149,Pull,4,0,Defensive,-7.117158556153259,97,Point
Fast,Good,Off-stump,113,Edge,4,0,Defensive,-5.75834319002921,110,Long-off
Spin,Short,Off-stump,131,Sweep,6,0,Aggressive,-12.683553121498646,40,Mid-wicket
Fast,Good,Leg-stump,135,Flick,1,0,Balanced,6.2192681710999445,37,Cover
Spin,Full,Leg-stump,128,Cover Drive,4,0,Defensive,-6.572869505746473,72,Square Leg
Fast,Full,Middle,138,Cut,0,0,Aggressive,-8.47926239744346,79,Long-off
Spin,Good,Off-stump,131,Flick,3,0,Balanced,-7.999372674035071,107,Square Leg
Spin,Full,Leg-stump,112,Defensive,0,1,Balanced,8.238710280919033,104,Long-on
Spin,Full,Leg-stump,125,Straight Drive,0,0,Defensive,13.45635169894636,42,Cover
Fast,Full,Middle,143,Flick,1,0,Defensive,10.602517539363305,38,Long-off
Spin,Full,Off-stump,121,Straight Drive,3,0,Aggressive,-2.250348396468347,49,Mid-wicket
Fast,Full,Off-stump,127,Flick,0,1,Aggressive,-0.4818964024965009,63,Cover
Spin,Short,Leg-stump,119,Pull,1,0,Defensive,10.416090454957335,111,Long-off
Spin,Short,Off-stump,121,Cut,0,0,Aggressive,11.677051396966661,31,Long-on
Fast,Full,Leg-stump,149,Cut,0,0,Aggressive,3.542672384738765,47,Mid-wicket
Spin,Short,Middle,110,Edge,2,0,Aggressive,-12.94800363058517,118,Point
Fast,Full,Off-stump,117,Pull,0,0,Defensive,-6.891688452355448,119,Slips
Fast,Short,Off-stump,118,Hook,0,0,Aggressive,13.087590393690242,58,Square Leg
Spin,Short,Middle,110,Flick,0,0,Defensive,-9.228532790348304,12,Mid-wicket
Spin,Full,Leg-stump,111,Hook,0,1,Aggressive,-7.7111038831237435,31,Cover
Spin,Good,Off-stump,128,Hook,2,0,Defensive,-6.1399340021672515,95,Cover
Spin,Full,Leg-stump,112,Cut,4,0,Aggressive,-0.4889125217117627,89,Slips
Spin,Good,Off-stump,114,Cut,0,0,Aggressive,-4.263544008776467,73,Mid-wicket
Fast,Full,Middle,144,Sweep,0,0,Balanced,12.327141589447443,88,Cover
Fast,Short,Leg-stump,127,Straight Drive,1,0,Balanced,8.825559361283414,36,Mid-wicket
Fast,Full,Leg-stump,142,Edge,3,0,Defensive,-11.138643392161567,10,Square Leg
Fast,Short,Off-stump,118,Cover Drive,1,0,Aggressive,13.506151456614514,99,Square Leg
Spin,Short,Leg-stump,131,Hook,1,0,Balanced,-12.65340881410164,115,Long-off
Spin,Full,Middle,130,Pull,0,0,Balanced,-13.522213527812042,44,Mid-wicket
Fast,Short,Middle,133,Sweep,2,0,Balanced,-7.232168442914173,51,Slips
Spin,Short,Off-stump,149,Cover Drive,4,0,Aggressive,7.385020695251882,26,Slips
Fast,Good,Off-stump,118,Cut,6,0,Balanced,5.198732127226247,104,Square Leg
Fast,Short,Middle,113,Edge,0,0,Defensive,-1.5872618274466497,14,Long-off
Spin,Full,Middle,114,Hook,2,0,Aggressive,-9.825492067144294,52,Point
Fast,Good,Leg-stump,143,Sweep,0,0,Balanced,7.851055421559817,67,Point
Fast,Short,Leg-stump,140,Flick,1,0,Balanced,-6.021768251482797,59,Long-on
Spin,Short,Middle,136,Defensive,0,0,Balanced,-0.32696872908637786,71,Long-off
Fast,Good,Off-stump,125,Hook,4,0,Balanced,10.75310084567219,22,Long-off
Spin,Short,Leg-stump,131,Hook,0,0,Aggressive,-7.8043007069839865,71,Slips
Fast,Short,Middle,148,Pull,3,0,Defensive,12.885454591291477,109,Fine Leg
Spin,Full,Leg-stump,141,Sweep,2,0,Defensive,0.5187274009757168,48,Long-on
Spin,Full,Middle,135,Cover Drive,1,0,Balanced,-0.8545441305087422,80,Point
Spin,Full,Middle,137,Edge,0,0,Defensive,-6.382924725434549,30,Slips
Fast,Full,Middle,128,Defensive,0,0,Balanced,-6.432587638270817,12,Cover
Fast,Short,Middle,132,Pull,0,0,Aggressive,-6.969071854082387,80,Fine Leg
Fast,Full,Off-stump,147,Straight Drive,4,0,Aggressive,13.500190585296185,68,Long-off
Spin,Full,Middle,146,Edge,0,0,Defensive,-3.1313749660382033,74,Point
Fast,Good,Off-stump,141,Hook,0,0,Balanced,14.822837084341206,53,Slips
Spin,Short,Off-stump,124,Cut,3,0,Defensive,-4.866891780017754,94,Slips
Spin,Good,Middle,134,Flick,0,0,Balanced,-8.691060395850446,20,Mid-wicket
Spin,Short,Off-stump,132,Edge,0,0,Defensive,9.524072314921554,48,Long-on
Fast,Short,Off-stump,116,Cover Drive,1,0,Aggressive,-1.0264227391270708,72,Long-on
Spin,Good,Leg-stump,130,Sweep,0,0,Aggressive,3.57823573625706,80,Fine Leg
Spin,Full,Off-stump,121,Flick,2,0,Balanced,6.673690169219224,108,Mid-wicket
Spin,Good,Leg-stump,127,Hook,1,0,Balanced,13.077404501174037,74,Long-off
Spin,Good,Off-stump,122,Pull,0,0,Aggressive,-6.504827798681871,17,Long-off
Fast,Full,Leg-stump,117,Edge,1,0,Balanced,2.67235088420934,76,Long-off
Fast,Good,Leg-stump,119,Sweep,1,0,Balanced,-3.7953126003503304,107,Long-off
Fast,Good,Off-stump,120,Hook,4,0,Balanced,-6.927792051748206,17,Square Leg
Fast,Good,Middle,115,Hook,4,0,Defensive,-5.416885418912262,61,Long-off
Fast,Good,Off-stump,110,Defensive,1,0,Balanced,-3.877661996658997,95,Cover
Fast,Good,Leg-stump,140,Straight Drive,0,0,Aggressive,14.570147041459375,79,Long-off
Fast,Good,Leg-stump,117,Cover Drive,1,0,Balanced,-8.547148889350709,102,Square Leg
Spin,Good,Leg-stump,123,Pull,0,0,Aggressive,2.6715365798028685,42,Point
Spin,Full,Middle,148,Flick,3,0,Defensive,-6.588338135034492,19,Square Leg
Spin,Short,Off-stump,125,Sweep,2,0,Balanced,-4.46805730523713,41,Long-on
Fast,Full,Middle,114,Sweep,1,0,Defensive,-3.9625066311700667,15,Mid-wicket
Spin,Good,Leg-stump,125,Pull,1,0,Defensive,-8.90635167473653,107,Cover
Fast,Full,Off-stump,112,Defensive,0,0,Balanced,-7.990215985180987,55,Point
Fast,Full,Off-stump,142,Straight Drive,1,0,Aggressive,3.5597263423410794,47,Cover
Fast,Full,Middle,142,Flick,4,0,Balanced,-8.837878590798034,105,Mid-wicket
Spin,Good,Leg-stump,120,Defensive,1,0,Aggressive,14.761359022908664,27,Slips
Spin,Short,Off-stump,124,Cover Drive,0,0,Defensive,-4.974583216716638,73,Cover
Fast,Good,Leg-stump,116,Cut,0,0,Balanced,-0.7474295825402812,111,Mid-wicket
Fast,Good,Off-stump,124,Defensive,2,0,Aggressive,-12.839503873500249,107,Fine Leg
Fast,Full,Middle,139,Hook,1,0,Aggressive,1.6884161518180107,19,Long-on
Fast,Full,Off-stump,135,Cut,3,0,Balanced,-9.140651600466697,30,Long-off
Spin,Good,Off-stump,132,Pull,1,0,Aggressive,11.264518661657721,36,Slips
Fast,Good,Leg-stump,135,Sweep,6,0,Defensive,-13.83696202096852,118,Long-on
Fast,Short,Off-stump,121,Pull,2,0,Balanced,10.972882731947568,18,Slips
Fast,Full,Middle,111,Sweep,0,0,Balanced,-7.635565199271303,39,Slips
Spin,Short,Middle,141,Pull,3,0,Defensive,-7.3745963151478175,12,Slips
Fast,Full,Middle,134,Pull,0,0,Balanced,-6.169011739161316,111,Mid-wicket
Spin,Full,Middle,142,Pull,1,0,Aggressive,6.2776345952380765,12,Slips
Spin,Full,Off-stump,122,Straight Drive,3,0,Defensive,-5.001858915576152,90,Cover
Spin,Full,Leg-stump,133,Defensive,4,0,Aggressive,14.424286218486174,20,Slips
Fast,Full,Middle,116,Sweep,0,0,Defensive,4.587627582463213,107,Point
Spin,Good,Off-stump,140,Cover Drive,2,0,Balanced,3.9871340008220777,99,Long-off
Fast,Good,Leg-stump,135,Pull,0,0,Defensive,3.5395035264615267,68,Cover
Fast,Short,Leg-stump,142,Edge,2,0,Aggressive,13.381179692987754,85,Mid-wicket
Spin,Full,Middle,113,Sweep,0,0,Balanced,-12.171012924008272,101,Square Leg
Spin,Short,Middle,143,Pull,0,0,Aggressive,11.510012544581798,96,Square Leg
Spin,Short,Leg-stump,125,Hook,0,0,Aggressive,-1.701332995880625,14,Point
Spin,Good,Leg-stump,147,Sweep,2,1,Defensive,-8.010337900952182,59,Square Leg
Fast,Full,Leg-stump,134,Flick,0,0,Defensive,-14.593194178001736,15,Fine Leg
Fast,Short,Middle,128,Straight Drive,4,0,Aggressive,3.2629948033742657,71,Long-off
Spin,Full,Leg-stump,115,Cut,0,0,Balanced,2.222074040943035,33,Mid-wicket
Spin,Full,Off-stump,136,Sweep,4,0,Balanced,0.8868047073380669,14,Point
Spin,Good,Middle,131,Cover Drive,4,0,Aggressive,8.648294971284763,67,Point
Fast,Good,Middle,125,Edge,2,0,Aggressive,9.883469977234952,119,Square Leg
Fast,Good,Middle,125,Flick,3,0,Aggressive,7.6787256045297205,82,Point
Fast,Short,Middle,136,Sweep,0,0,Defensive,9.418688934987653,21,Long-off
Fast,Full,Off-stump,110,Straight Drive,4,0,Defensive,-13.456420361663998,103,Long-off
Spin,Good,Leg-stump,145,Flick,0,0,Aggressive,-5.522945494105468,61,Square Leg
Fast,Short,Middle,116,Straight Drive,0,0,Defensive,2.0663042667538782,12,Fine Leg
Spin,Good,Middle,149,Flick,4,1,Defensive,-14.24545370698803,37,Point
Fast,Short,Leg-stump,113,Cover Drive,1,0,Defensive,-5.650869953277679,51,Square Leg
Spin,Full,Middle,142,Straight Drive,4,0,Defensive,-1.7731038390214664,44,Long-off
Spin,Short,Off-stump,116,Cut,2,0,Defensive,14.396978081682114,61,Square Leg
Fast,Short,Off-stump,116,Edge,0,0,Balanced,3.7447833724571318,109,Long-off
Fast,Good,Middle,125,Straight Drive,0,0,Aggressive,-3.2017494214112325,28,Cover
Spin,Full,Off-stump,130,Cover Drive,1,0,Balanced,12.166885573983965,116,Mid-wicket
Fast,Good,Off-stump,138,Cut,0,0,Balanced,-12.412582729557435,75,Long-off
Spin,Good,Leg-stump,129,Pull,0,0,Aggressive,-10.822234809875884,50,Slips
Spin,Full,Leg-stump,134,Edge,1,0,Defensive,3.387080270158915,74,Mid-wicket
Spin,Full,Middle,134,Straight Drive,0,0,Defensive,-3.5802520762825996,92,Mid-wicket
Spin,Good,Off-stump,130,Sweep,0,0,Aggressive,-8.969421182664936,104,Fine Leg
Spin,Full,Off-stump,137,Pull,0,0,Aggressive,-4.775602397571067,33,Fine Leg
Fast,Good,Middle,125,Defensive,1,0,Defensive,10.630777660502922,40,Mid-wicket
Fast,Good,Middle,127,Sweep,3,0,Balanced,-4.368158968714898,78,Point
Spin,Full,Leg-stump,147,Pull,0,0,Aggressive,-3.290320824880302,20,Long-off
Spin,Good,Leg-stump,129,Straight Drive,0,1,Balanced,-0.9499721432487753,119,Point
Fast,Short,Middle,117,Pull,6,0,Aggressive,-9.48472929927411,88,Fine Leg
Fast,Good,Leg-stump,149,Sweep,6,0,Aggressive,2.998350402769642,77,Long-off
Spin,Good,Off-stump,119,Cut,0,1,Aggressive,-5.604033743971822,26,Cover
Fast,Short,Off-stump,139,Sweep,0,0,Balanced,4.251912632379128,21,Cover
Fast,Good,Leg-stump,146,Sweep,4,0,Defensive,-4.331070018588246,109,Square Leg
Fast,Short,Off-stump,120,Edge,4,0,Balanced,-7.158347564636286,35,Mid-wicket
Fast,Short,Middle,146,Pull,0,0,Defensive,1.2450261308207153,118,Fine Leg
Spin,Full,Leg-stump,135,Defensive,4,0,Defensive,13.870682018552497,31,Long-on
Fast,Short,Off-stump,143,Flick,0,0,Defensive,-14.137358111784984,73,Cover
Spin,Short,Off-stump,136,Sweep,0,0,Defensive,2.031378648134968,44,Long-off
Fast,Full,Middle,141,Edge,2,0,Aggressive,9.734165269478211,84,Fine Leg
Fast,Short,Off-stump,143,Flick,0,0,Aggressive,-6.958593737832047,83,Square Leg
Spin,Short,Middle,129,Flick,0,0,Defensive,-14.505706003301711,43,Long-on
Fast,Full,Off-stump,117,Sweep,4,0,Aggressive,6.436692317614799,111,Slips
Fast,Short,Leg-stump,125,Cut,6,0,Aggressive,10.400071020255833,31,Long-off
Fast,Short,Middle,114,Cover Drive,1,0,Aggressive,6.86515119696044,23,Square Leg
Spin,Full,Leg-stump,125,Sweep,2,0,Aggressive,4.107382518665485,11,Long-off
Spin,Short,Off-stump,131,Edge,1,0,Defensive,-3.3186068714136763,20,Fine Leg
Fast,Good,Middle,110,Cut,6,0,Defensive,-14.116006841556239,71,Point
Fast,Good,Off-stump,146,Cut,0,0,Balanced,14.153091608769238,25,Fine Leg
Spin,Good,Leg-stump,134,Sweep,3,1,Aggressive,-12.063441291482093,92,Square Leg
Spin,Short,Off-stump,149,Flick,0,0,Defensive,13.625869152311285,61,Fine Leg
Spin,Short,Leg-stump,136,Edge,3,0,Defensive,8.310100849148242,36,Long-on
Spin,Full,Off-stump,120,Sweep,0,0,Balanced,3.6798393053183673,33,Fine Leg
Fast,Short,Off-stump,131,Sweep,4,0,Aggressive,1.9586444287537788,112,Fine Leg
Fast,Short,Leg-stump,139,Hook,4,1,Defensive,-7.798979594885975,112,Slips
Spin,Good,Off-stump,138,Defensive,0,0,Aggressive,11.056821668133196,103,Long-on
Fast,Good,Off-stump,136,Hook,3,0,Balanced,-10.895201581999295,24,Long-off
Fast,Short,Leg-stump,124,Hook,4,0,Aggressive,-11.638477674940297,103,Slips
Fast,Good,Off-stump,127,Sweep,0,0,Aggressive,-7.087228351771354,32,Point
Fast,Short,Off-stump,142,Hook,4,0,Aggressive,1.3719755581099058,105,Square Leg
Fast,Good,Middle,141,Cover Drive,6,0,Aggressive,-3.31458205263214,15,Square Leg
Fast,Short,Off-stump,142,Cover Drive,0,0,Defensive,1.8404617772524325,47,Cover
Fast,Short,Off-stump,147,Sweep,0,0,Aggressive,-2.5892946609854466,79,Cover
Fast,Short,Leg-stump,126,Straight Drive,3,0,Aggressive,0.9151705422764405,30,Mid-wicket
Fast,Full,Middle,110,Straight Drive,0,0,Defensive,0.8544419822681846,17,Fine Leg
Spin,Full,Middle,133,Cover Drive,4,0,Defensive,2.870505341084524,10,Point
Fast,Full,Middle,135,Pull,2,0,Defensive,1.431661606887232,14,Point
Spin,Short,Off-stump,145,Cover Drive,2,0,Aggressive,12.030776060320417,26,Square Leg
Fast,Good,Leg-stump,113,Defensive,1,0,Aggressive,-12.03291586794557,16,Point
Fast,Good,Leg-stump,125,Pull,4,0,Defensive,-4.3336376941794335,92,Long-off
Fast,Full,Leg-stump,144,Defensive,0,0,Balanced,-5.974334191381862,61,Long-on
Spin,Short,Leg-stump,149,Defensive,3,0,Defensive,-1.9486875492673814,86,Cover
Spin,Short,Middle,132,Pull,4,0,Aggressive,-3.0773244239174975,71,Long-on
Fast,Good,Off-stump,125,Straight Drive,6,0,Aggressive,9.93928028701755,23,Fine Leg
Spin,Good,Leg-stump,116,Pull,0,0,Defensive,-9.57348538314005,119,Slips
Fast,Full,Leg-stump,137,Pull,3,0,Aggressive,-6.888234894076884,65,Fine Leg
Spin,Good,Off-stump,126,Cut,0,0,Aggressive,-2.2087121956554263,66,Point
Fast,Full,Middle,127,Straight Drive,0,0,Aggressive,-0.5783364910778506,55,Point
Spin,Full,Middle,110,Cut,0,0,Balanced,5.593742240712725,61,Fine Leg
Fast,Full,Middle,120,Defensive,3,0,Aggressive,13.431551670390704,117,Square Leg
Spin,Full,Leg-stump,144,Defensive,1,0,Aggressive,1.84634992373757,76,Fine Leg
Fast,Good,Off-stump,119,Flick,1,0,Balanced,0.36041605357153905,55,Long-off
Spin,Good,Middle,144,Cover Drive,0,0,Aggressive,14.682632970292502,54,Cover
Spin,Short,Off-stump,122,Flick,1,0,Balanced,-4.958774945301693,28,Slips
Spin,Short,Leg-stump,139,Pull,4,0,Balanced,2.8632228092349585,38,Long-off
Fast,Good,Leg-stump,129,Defensive,0,0,Defensive,-4.152510990252557,88,Square Leg
Spin,Full,Middle,115,Edge,4,0,Defensive,-10.330041305828166,40,Fine Leg
Spin,Short,Leg-stump,129,Cover Drive,1,0,Balanced,-2.0570617473843296,91,Slips
Spin,Full,Off-stump,129,Hook,0,0,Balanced,6.6902424301135035,39,Mid-wicket
Fast,Short,Leg-stump,133,Pull,4,0,Defensive,9.986850133536976,103,Cover
Spin,Full,Middle,132,Cover Drive,2,0,Defensive,-7.689148132070666,54,Point
Fast,Short,Middle,127,Pull,1,0,Balanced,-5.1221580755029095,56,Mid-wicket
Fast,Short,Middle,145,Sweep,4,0,Defensive,-0.9434610662603795,107,Slips
Spin,Short,Middle,120,Hook,4,0,Aggressive,10.4224439235234,17,Square Leg
Spin,Short,Leg-stump,118,Sweep,0,0,Defensive,11.1822908274487,26,Long-on
Spin,Short,Off-stump,128,Pull,2,0,Aggressive,4.7260663873841615,48,Square Leg
Fast,Short,Leg-stump,130,Edge,0,0,Aggressive,-3.0563596007529217,77,Cover
Fast,Full,Off-stump,143,Cut,6,0,Defensive,-9.232686321953548,105,Fine Leg
Fast,Good,Middle,115,Sweep,6,0,Balanced,7.39559545053293,85,Long-off
Spin,Good,Middle,130,Edge,6,0,Aggressive,10.285141749299395,118,Mid-wicket
Spin,Good,Leg-stump,112,Flick,0,0,Defensive,-6.61803624553222,116,Long-on
Spin,Full,Leg-stump,111,Cut,1,0,Balanced,-9.523706757780596,95,Long-on
Spin,Full,Off-stump,136,Straight Drive,0,0,Balanced,-9.877063353581116,71,Long-on
Spin,Good,Off-stump,121,Pull,2,0,Defensive,-11.954552980667163,76,Mid-wicket
Fast,Full,Leg-stump,123,Hook,3,0,Aggressive,11.767099051516574,81,Long-on
Fast,Short,Leg-stump,130,Straight Drive,3,0,Defensive,-6.5943724835772155,82,Slips
Fast,Full,Middle,139,Cut,0,0,Aggressive,-8.77386360841115,101,Long-on
Fast,Good,Leg-stump,149,Hook,4,0,Balanced,13.979654076402142,35,Long-off
Spin,Full,Middle,136,Straight Drive,4,0,Balanced,7.412164971579756,43,Mid-wicket
Spin,Full,Leg-stump,135,Defensive,0,0,Aggressive,-5.258308399811186,102,Slips
Fast,Good,Leg-stump,119,Hook,3,0,Defensive,-14.750922311873852,18,Point
Fast,Full,Leg-stump,127,Pull,1,0,Balanced,0.7083156117372997,40,Point
Fast,Good,Off-stump,140,Pull,0,0,Defensive,0.7433703618548488,33,Long-on
Spin,Full,Middle,127,Straight Drive,0,0,Aggressive,5.076055271935932,46,Square Leg
Spin,Short,Off-stump,141,Defensive,0,0,Aggressive,-9.687930226012995,54,Cover
Spin,Full,Middle,143,Edge,0,0,Balanced,-10.598580767573953,25,Long-off
Spin,Short,Middle,138,Flick,0,1,Defensive,-11.818355139647524,88,Point
Spin,Short,Middle,125,Cover Drive,6,0,Defensive,-9.349183718908932,40,Long-off
Fast,Full,Middle,142,Sweep,3,0,Balanced,0.458867622605343,95,Square Leg
Spin,Short,Off-stump,132,Straight Drive,3,0,Aggressive,-2.105277198275772,49,Long-off
Fast,Good,Off-stump,127,Pull,0,0,Defensive,0.5439336493113434,68,Long-on
Spin,Good,Leg-stump,144,Flick,0,0,Defensive,-10.060012605465985,93,Square Leg
Spin,Good,Middle,134,Edge,3,0,Aggressive,-6.559513635720251,26,Mid-wicket
Fast,Short,Leg-stump,133,Edge,0,0,Defensive,-1.0509309814016436,78,Point
Spin,Full,Leg-stump,144,Defensive,1,0,Defensive,6.334611264606952,73,Cover
Fast,Good,Leg-stump,128,Hook,0,0,Aggressive,10.783738489839735,70,Point
Fast,Short,Middle,116,Defensive,0,0,Balanced,-3.579709813257777,104,Slips
Spin,Short,Off-stump,123,Flick,6,0,Defensive,-8.407571770389518,91,Mid-wicket
Fast,Full,Off-stump,135,Cut,2,0,Aggressive,13.85922579054532,21,Square Leg
Fast,Good,Off-stump,122,Defensive,3,0,Defensive,6.32766184757282,17,Point
Fast,Full,Off-stump,123,Cut,1,0,Balanced,13.790470804587564,97,Point
Fast,Full,Off-stump,146,Edge,4,0,Defensive,6.001473447036439,89,Long-off
Fast,Short,Leg-stump,123,Edge,0,0,Defensive,4.442687969681256,84,Point
Spin,Short,Leg-stump,144,Cover Drive,4,0,Balanced,-12.773204821575298,66,Slips
Spin,Good,Leg-stump,119,Cut,1,0,Defensive,10.7594699775225,63,Point
Fast,Short,Middle,115,Hook,0,0,Defensive,4.54159110420488,54,Square Leg
Fast,Good,Middle,121,Cover Drive,1,1,Defensive,5.680689590651234,76,Slips
Spin,Full,Off-stump,133,Sweep,4,0,Defensive,14.009611049801702,10,Long-on
Spin,Short,Off-stump,126,Cut,0,0,Balanced,-4.855787865165034,33,Long-on
Fast,Full,Middle,117,Pull,4,0,Balanced,-5.188755374045108,33,Slips
Fast,Full,Middle,143,Edge,0,0,Defensive,-6.864224675067806,11,Square Leg
Fast,Full,Middle,120,Sweep,2,1,Balanced,-1.4569350772065022,17,Mid-wicket
Fast,Short,Middle,116,Defensive,0,0,Balanced,0.18997814854300898,30,Long-on
Spin,Good,Middle,140,Cover Drive,0,0,Aggressive,10.990669277555735,73,Long-on
Fast,Short,Middle,113,Edge,4,0,Balanced,-11.148074834549263,104,Cover
Spin,Good,Off-stump,118,Edge,4,0,Defensive,7.016249755747388,97,Long-off
Spin,Good,Off-stump,121,Edge,6,0,Balanced,-0.09536293842389121,109,Slips
Fast,Full,Off-stump,140,Hook,1,0,Balanced,-2.9366892821278974,51,Fine Leg
Fast,Full,Leg-stump,123,Pull,4,0,Defensive,14.189704840092947,53,Slips
